DateTime,Heat_watts
09/02/2010 01:45:00,9218662.010
09/02/2010 02:00:00,9179209.819
09/02/2010 02:15:00,9135374.051
09/02/2010 02:30:00,8858757.259
09/02/2010 02:45:00,8816105.563
09/02/2010 03:00:00,8999483.170
09/02/2010 03:15:00,8960030.979
09/02/2010 03:30:00,8916195.211
09/02/2010 03:45:00,8885510.174
09/02/2010 04:00:00,8832907.252
09/02/2010 04:15:00,8802222.214
09/02/2010 04:30:00,8771537.177
09/02/2010 04:45:00,8740852.139
09/02/2010 05:00:00,8697016.371
09/02/2010 05:15:00,8666331.334
09/02/2010 05:30:00,8635646.296
09/02/2010 05:45:00,8591810.528
09/02/2010 06:00:00,8329876.229
09/02/2010 06:15:00,8300020.042
09/02/2010 06:30:00,8278694.194
09/02/2010 06:45:00,8261633.515
09/02/2010 07:00:00,8240307.667
09/02/2010 07:15:00,8240307.667
09/02/2010 07:30:00,8227512.158
09/02/2010 07:45:00,8227512.158
09/02/2010 08:00:00,8218981.819
09/02/2010 08:15:00,8210451.480
09/02/2010 08:30:00,7734200.986
09/02/2010 08:45:00,8180595.293
09/02/2010 09:00:00,8407700.302
09/02/2010 09:15:00,8455919.647
09/02/2010 09:30:00,8539207.606
09/02/2010 09:45:00,8688249.218
09/02/2010 10:00:00,8810989.368
09/02/2010 10:15:00,8907428.058
09/02/2010 10:30:00,8968798.133
09/02/2010 10:45:00,9074003.976
09/02/2010 11:00:00,9179209.819
09/02/2010 11:15:00,9284415.662
09/02/2010 11:30:00,9376470.775
09/02/2010 11:45:00,9521128.810
09/02/2010 12:00:00,9762225.534
09/02/2010 12:15:00,9994555.104
09/02/2010 12:30:00,10226884.674
09/02/2010 12:45:00,10511817.166
09/02/2010 13:00:00,10730996.006
09/02/2010 13:15:00,10880037.618
09/02/2010 13:30:00,10998394.191
09/02/2010 13:45:00,11169353.686
09/02/2010 14:00:00,11305244.567
09/02/2010 14:15:00,11392916.103
09/02/2010 14:30:00,11454286.178
09/02/2010 14:45:00,11467436.909
09/02/2010 15:00:00,11414833.987
09/02/2010 15:15:00,11392916.103
09/02/2010 15:30:00,11340313.182
09/02/2010 15:45:00,11265792.376
09/02/2010 16:00:00,11169353.686
09/02/2010 16:15:00,11059764.266
09/02/2010 16:30:00,10932640.539
09/02/2010 16:45:00,10840585.426
09/02/2010 17:00:00,10787982.505
09/02/2010 17:15:00,10752913.890
09/02/2010 17:30:00,10744146.737
09/02/2010 17:45:00,10730996.006
09/02/2010 18:00:00,10713461.699
09/02/2010 18:15:00,10678393.085
09/02/2010 18:30:00,10647708.047
09/02/2010 18:45:00,10638940.894
09/02/2010 19:00:00,10617023.010
09/02/2010 19:15:00,10586337.972
09/02/2010 19:30:00,10551269.358
09/02/2010 19:45:00,10520584.320
09/02/2010 20:00:00,10489899.282
09/02/2010 20:15:00,10437296.361
09/02/2010 20:30:00,10393460.593
09/02/2010 20:45:00,10384693.439
09/02/2010 21:00:00,10340857.671
09/02/2010 21:15:00,10310172.634
09/02/2010 21:30:00,10266336.866
09/02/2010 21:45:00,10213733.944
09/02/2010 22:00:00,10174281.753
09/02/2010 22:15:00,10108528.101
09/02/2010 22:30:00,10055925.179
09/02/2010 22:45:00,10047158.026
09/02/2010 23:00:00,10047158.026
09/02/2010 23:15:00,10038390.872
09/02/2010 23:30:00,10016472.988
09/02/2010 23:45:00,9972637.220
09/03/2010 00:00:00,9880582.107
09/03/2010 00:15:00,9797294.148
09/03/2010 00:30:00,9744691.226
09/03/2010 00:45:00,9700855.458
09/03/2010 01:00:00,9648252.537
09/03/2010 01:15:00,9586882.462
09/03/2010 01:30:00,9534279.540
09/03/2010 01:45:00,9481676.618
09/03/2010 02:00:00,9407155.813
09/03/2010 02:15:00,9367703.622
09/03/2010 02:30:00,9332635.007
09/03/2010 02:45:00,9301949.970
09/03/2010 03:00:00,9271264.932
09/03/2010 03:15:00,9240579.894
09/03/2010 03:30:00,9196744.126
